permno,date,ticker,mean_recommendation,recommendation_change,num_recommendations
86979,2023-07-31,JNPR,2.0,0.0,1
86979,2023-08-31,JNPR,3.0,1.0,1
86979,2023-10-31,JNPR,3.0,0.0,1
86979,2023-12-31,JNPR,4.0,1.0,1
86979,2024-01-31,JNPR,2.875,-1.125,8
86979,2024-06-30,JNPR,1.0,-1.875,1
86996,2019-12-31,SBAC,3.0,,1
86996,2020-01-31,SBAC,2.0,-1.0,1
86996,2020-03-31,SBAC,1.6666666666666667,-0.33333333333333326,3
86996,2020-04-30,SBAC,2.0,0.33333333333333326,4
86996,2020-06-30,SBAC,2.0,0.0,2
86996,2020-07-31,SBAC,3.0,1.0,2
86996,2021-01-31,SBAC,2.0,-1.0,1
86996,2021-02-28,SBAC,3.0,1.0,2
86996,2021-03-31,SBAC,1.5,-1.5,2
86996,2021-04-30,SBAC,1.0,-0.5,2
86996,2021-06-30,SBAC,2.0,1.0,1
86996,2021-10-31,SBAC,3.5,1.5,2
86996,2021-11-30,SBAC,3.0,-0.5,1
86996,2022-01-31,SBAC,3.0,0.0,1
86996,2022-04-30,SBAC,3.0,0.0,1
86996,2022-07-31,SBAC,2.0,-1.0,1
86996,2023-01-31,SBAC,3.0,1.0,1
86996,2023-03-31,SBAC,2.0,-1.0,1
86996,2023-07-31,SBAC,3.0,1.0,1
86996,2023-08-31,SBAC,3.0,0.0,1
86996,2023-10-31,SBAC,1.0,-2.0,1
86996,2023-12-31,SBAC,2.0,1.0,1
86996,2024-02-29,SBAC,2.0,0.0,1
86996,2024-03-31,SBAC,1.0,-1.0,1
86996,2024-07-31,SBAC,3.0,2.0,2
86996,2024-12-31,SBAC,3.0,0.0,1
87034,2019-12-31,LII,3.5,,2
87034,2020-04-30,LII,2.0,-1.5,1
87034,2020-07-31,LII,3.0,1.0,1
87034,2020-10-31,LII,3.0,0.0,2
87034,2020-11-30,LII,3.5,0.5,2
87034,2020-12-31,LII,3.0,-0.5,1
87034,2021-02-28,LII,4.0,1.0,1
87034,2021-05-31,LII,3.0,-1.0,1
87034,2021-06-30,LII,4.0,1.0,1
87034,2021-07-31,LII,3.5,-0.5,2
87034,2021-10-31,LII,3.5,0.0,2
87034,2021-12-31,LII,3.0,-0.5,2
87034,2022-02-28,LII,3.0,0.0,1
87034,2022-03-31,LII,3.0,0.0,1
87034,2022-11-30,LII,3.0,0.0,1
87034,2022-12-31,LII,2.5,-0.5,2
87034,2023-03-31,LII,3.0,0.5,1
87034,2023-06-30,LII,2.0,-1.0,1
87034,2023-07-31,LII,1.0,-1.0,1
87034,2023-08-31,LII,3.0,2.0,1
87034,2023-10-31,LII,2.0,-1.0,2
87034,2023-12-31,LII,2.0,0.0,2
87034,2024-02-29,LII,3.5,1.5,2
