permno,date,ticker,weighted_mean_recommendation,recommendation_change,unweighted_mean_recommendation,unweighted_change,num_recommendations,effective_recommendation_count
34833,2022-04-30,OXY,-1.3636540866510587,-1.3636540866510587,-1.25,-1.25,4,1.2795353246115364
75510,2022-04-30,ADBE,0.0,1.3585854963958601,0.0,1.0,1,0.15237670677555945
16851,2022-04-30,DWDP,0.0,1.3459001926323562,0.0,2.0,1,0.0928746430710593
61241,2022-04-30,AMD,-1.3118882972755346,-1.3118882972755346,-1.0,-1.0,3,0.7713870647779103
77178,2022-04-30,QCOM,-1.648720808832381,-1.269913185990845,-0.75,0.75,4,1.5696179848561598
59010,2022-04-30,GPS,-1.1624059251879812,-1.264947844688936,-0.3333333333333333,-1.3333333333333333,3,0.8711983951206413
22976,2022-04-30,WBD,-1.4542726545299782,-1.2491888155280688,-0.6,0.4,5,1.5699748924198007
90805,2022-04-30,DISCA,-1.4542726545299782,-1.2491888155280688,-0.6,0.4,5,1.5699748924198007
19393,2022-04-30,BMY,0.9903327235701046,1.2403327235701047,0.3333333333333333,0.8333333333333333,3,1.1954165625720141
87657,2022-04-30,EW,-1.6998870028535193,-1.2341296253195764,-1.6666666666666667,-0.6666666666666667,3,0.9340622634662819
84761,2022-04-30,TTWO,-1.2965567894079348,-1.2275511948033215,-1.6666666666666667,-1.1666666666666667,3,0.7508203142049221
35554,2022-04-30,MTB,-0.410167678003819,-1.1531648225722932,-0.5,-1.5,2,0.6152515170057284
91041,2022-04-30,LYV,-1.2190136542044754,-1.134894892164953,-1.0,0.0,2,1.2190136542044754
91103,2022-04-30,UAL,-1.3585854963958601,-1.1321545803298836,-1.0,0.0,3,0.998598307334966
50876,2022-04-30,LLY,0.9071253569289407,1.082840814961929,0.0,0.6666666666666666,2,1.0928746430710592
91233,2022-04-30,MA,0.9057236642639067,1.058100371039466,1.0,3.0,1,0.9057236642639067
45911,2022-04-30,SWKS,0.0,1.044448668600415,0.0,1.0,1,0.20508383900190952
89393,2022-04-30,NFLX,1.044448668600415,1.044448668600415,0.21428571428571427,0.21428571428571427,14,5.289634435013903
18542,2022-04-30,CAT,0.820335356007638,1.0254191950095475,1.0,2.0,1,0.820335356007638
25081,2022-04-30,CMA,-0.05660772901649415,1.005760930217697,-0.3333333333333333,1.6666666666666667,3,0.5233831360368073
59010,2022-05-31,GPS,2.018850288948534,3.181256214136515,1.0,1.3333333333333333,3,2.018850288948534
42906,2022-05-31,HBAN,1.2190136542044754,2.8481949864127696,2.0,3.0,1,0.6095068271022377
46703,2022-05-31,HST,-0.07618835338777971,1.9616898912060106,-1.0,0.5,1,0.07618835338777971
18143,2022-05-31,LIN,-2.0,-1.7735690839340235,-1.0,0.0,2,2.0
50876,2022-05-31,LLY,-0.820335356007638,-1.7274607129365787,-2.0,-2.0,1,0.410167678003819
91103,2022-05-31,UAL,0.3047534135511189,1.663338909946979,0.3333333333333333,1.3333333333333333,3,0.5020876336236295
22509,2022-05-31,PPG,1.0,1.6095068271022377,0.5,1.5,2,1.304753413551119
12981,2022-05-31,FBHS,-0.08411876203952226,1.5749518597127317,-1.0,-0.75,1,0.08411876203952226
77178,2022-05-31,QCOM,-0.08411876203952226,1.5646020467928587,-0.5,0.25,2,0.2221299512487488
65875,2022-05-31,BEL,0.3047534135511189,-1.5066939149766945,1.0,0.0,1,0.3047534135511189
90319,2022-05-31,GOOGL,-0.3047534135511189,1.5042766045081164,-1.0,0.0,1,0.3047534135511189
89393,2022-05-31,NFLX,-0.45286183213195336,-1.4973105007323684,-0.6666666666666666,-0.8809523809523809,3,0.9491532012012027
52230,2022-05-31,RHI,0.0,1.4859942891369484,0.0,2.0,1,0.6095068271022377
86580,2022-05-31,NVDA,-2.391717953400855,-1.4845925964719142,-1.0,-0.6666666666666667,3,1.711220808832381
22976,2022-05-31,WBD,0.0,1.4542726545299782,0.0,0.6,1,0.10254191950095473
90805,2022-05-31,DISCA,0.0,1.4542726545299782,0.0,0.6,1,0.10254191950095473
89626,2022-05-31,CME,-1.4528618321319533,-1.4528618321319533,-2.0,-2.0,2,0.7264309160659767
92203,2022-05-31,LULU,-0.5520447568369062,1.4251010033364586,-1.0,0.5,1,0.5520447568369062
90979,2022-05-31,UA,0.0,1.4149057872369695,0.0,1.0,2,0.580775791969572
47896,2022-05-31,CMB,-0.625,-1.3679971445684742,-1.0,-1.5,3,1.0625
85631,2022-05-31,ACAD,0.0,1.3540895136738125,0.0,1.5,1,0.45286183213195336
