symbol,company,year_month,signal,weighted_sentiment_score,avg_sentiment_score,article_count,positive_count,negative_count,neutral_count,effective_article_count
AMP,Ameriprise Financial,2021-08,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2021-09,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2021-10,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2021-11,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2021-12,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2022-01,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2022-02,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2022-03,hold,0.0089,0.0867,1,0,0,1,0.1
AMP,Ameriprise Financial,2022-04,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2022-05,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2022-06,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2022-07,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2022-08,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2022-09,hold,-0.0884,-0.2379,1,0,0,1,0.37
AMP,Ameriprise Financial,2022-10,hold,-0.065,-0.853,1,0,1,0,0.08
AMP,Ameriprise Financial,2022-11,hold,-0.0496,-0.4377,1,0,1,0,0.11
AMP,Ameriprise Financial,2022-12,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2023-01,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2023-02,buy,0.1277,0.3794,1,1,0,0,0.34
AMP,Ameriprise Financial,2023-03,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2023-04,hold,0.0108,0.0225,2,0,0,2,0.56
AMP,Ameriprise Financial,2023-05,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2023-06,sell,-0.2379,-0.3637,2,0,1,1,0.84
AMP,Ameriprise Financial,2023-07,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2023-08,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2023-09,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2023-10,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2023-11,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2023-12,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-01,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-02,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-03,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-04,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-05,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-06,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-07,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-08,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-09,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-10,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-11,hold,0.0,0.0,0,0,0,0,0.0
AMP,Ameriprise Financial,2024-12,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2015-01,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2015-02,hold,0.0,0.0,0,0,0,0,0.0
AMGN,Amgen,2015-03,hold,0.0,0.0,0,0,0,0,0.0
